beta1,beta2,beta3,alpha1,alpha2,alpha3,actual_beta1,actual_beta2,actual_beta3,actual_alpha1,actual_alpha2,actual_alpha3,x1,y1,z1,q01,qx1,qy1,qz1,error1,x2,y2,z2,q02,qx2,qy2,qz2,error2
-14.83245397313843,-20.082412422144987,-24.91967137403361,3.302954623903297,1.4579251963843725,0.2426733848412024,-14.005512,-19.503741,-24.091673,3.001264,1.125163,0.452049,80.86557006835938,-70.0665283203125,-285.0079406738281,0.4996429543964832,-0.4646953123488485,0.47124640177689825,-0.5588756691924297,0.8721182942390442,-69.74020309448242,-63.12654342651367,-228.72834167480468,0.42170555213142874,0.696514744832005,0.5805442597538397,0.0,0.0
-14.20261390465979,-16.58002511637145,-22.56424437568645,1.5314469067202965,0.1429349792106814,1.0179646049023103,-14.003943,-17.589165,-23.033729,1.932964,0.353438,0.798839,80.81861877441406,-69.9946075439453,-284.9917724609375,0.4979096713370574,-0.4629173575594669,0.47301778614736384,-0.5603995478651199,0.8664575815200806,-70.87687225341797,-48.890027618408205,-228.3368927001953,0.1553263153166878,0.7187488904684501,0.6776974016628017,0.0,0.0
-14.788092344582916,-18.60848128951728,-24.533078889479,1.9401342315470544,1.1793803543402477,0.9445505134237308,-14.175299,-17.927795,-23.810789,1.932336,0.95318,0.799467,80.85638122558593,-70.05351867675782,-285.004150390625,0.49427824036674634,-0.465118487745727,0.4720799029314068,-0.5625783311729615,0.8798096776008606,-72.72115478515624,-46.80126876831055,-227.19574584960938,0.4220705614749184,0.705203253132387,0.5696883471756693,0.0,0.0
-14.575989864007344,-17.731470705839055,-20.57616547488943,0.5828637888089898,1.544983531678021,0.8690220019779114,-14.104685,-17.851846,-21.284859,0.959128,1.299029,0.799781,80.84730529785156,-69.98377532958985,-285.0033813476563,0.49912431781229455,-0.46346005716947547,0.47210349826216536,-0.5596409364096802,0.8748967051506042,-65.0051139831543,-38.347599792480466,-232.72213439941407,0.5049553056085782,0.7131890264336538,0.48619085955246505,0.0,0.0
-14.31401047166162,-18.72160335743685,-22.920568667680364,2.4966919488001103,2.097605972292393,0.2150396308369651,-14.174671,-18.090676,-22.230449,2.110595,1.732608,0.45048,80.84375457763672,-70.04049682617188,-284.9820861816406,0.5019364907498984,-0.46444604484429014,0.47070647156133244,-0.5574809847093021,0.880434513092041,-67.1583366394043,-48.13590698242187,-234.20916137695312,-0.07757390215656947,0.7343428706984747,0.6743314006914748,0.0,0.0
-11.530776111662764,-11.959596474431796,-13.369069976551591,0.3570259316505993,0.0151729082322403,0.0420266089906188,-12.01202,-12.960384,-14.482587,0.867173,0.352497,0.267827,80.79933624267578,-70.01799774169922,-285.0276733398438,0.4985090541880811,-0.46288996009683003,0.47048428214438387,-0.5620197042712504,0.8947874903678894,-42.01367721557617,-37.556678771972656,-252.78478088378907,0.48630086941219963,0.666115086088154,0.5655105273067071,0.0,0.0
-11.5581368605059,-14.924220174646624,-20.888923474305557,2.444242395848389,0.5993861044104093,0.0776567569897956,-11.845373,-14.104634,-19.973962,2.110281,0.436605,0.179325,80.82173919677734,-69.97992858886718,-285.0418762207031,0.4984854160144515,-0.46263580238228014,0.47312367234782843,-0.5600307090143432,0.8860340118408203,-53.93390884399414,-40.96470260620117,-244.04134826660157,0.4399801023238391,0.6929123154559911,0.5712180254933499,0.0,0.0
-12.654511223054138,-19.102733411140296,-22.94086999768875,0.8376323531620582,1.0500861427170738,0.6021648053745388,-12.262149,-18.010961,-22.233902,1.219926,0.785278,0.448598,80.83435516357422,-70.04704437255859,-285.02618408203125,0.49717174788716956,-0.4635817743347973,0.4729733963362744,-0.5605429135807065,0.8908788561820984,-61.96124801635742,-40.92835922241211,-229.25677795410155,0.5054395802589278,0.7063422867935554,0.49559197390083876,0.0,0.0
-14.021073231648222,-20.20559450385495,-23.03961518192861,0.2131448854600591,0.242583550685382,1.5490587719591966,-13.310364,-19.419631,-22.56751,0.606061,0.436918,1.243546,80.82118225097656,-70.04967041015625,-284.99891357421876,0.49948604949627845,-0.46243162169805596,0.47248294614814046,-0.5598486824236357,0.8863219618797302,-62.58299102783203,-36.08882293701172,-225.55906677246094,0.5923873656640549,0.7501707151531423,0.293804538985061,0.0,0.0
-14.778446475469956,-18.71049208892939,-19.546100297656093,2.443826759172401,0.5028302180143431,0.2451088886655329,-13.664058,-19.177664,-20.252336,2.10934,0.43786,0.540551,80.7442398071289,-70.03709411621094,-285.007666015625,0.4995355788540589,-0.46343521470568155,0.47260787460350107,-0.5588683244668645,0.8604456186294556,-55.3527214050293,-50.932524871826175,-232.57648010253905,0.7372957841083903,0.49831974665752854,0.4561494895614488,0.0,0.0
